"timestamp_utc","host_os","host_arch","tool","tool_version","iteration","phase","command","exit_code","real_seconds","user_seconds","system_seconds","max_rss_bytes","health_url","health_status","cache_policy","volume_policy"
"2026-07-25T06:24:42Z","Darwin","arm64","docker","5.1.3","4","total","docker build + start + stop","0","5.66","0.49","0.28","54181888","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:45Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","build","nozarashi build","0","2.27","0.29","0.14","42811392","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:53Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","start","nozarashi start and wait for health","0","7.88","0.19","0.13","32473088","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:53Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","stop","nozarashi stop","0","0.52","0.08","0.04","30294016","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:53Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","total","nozarashi build + start + stop","0","10.67","0.56","0.31","42811392","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:56Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","5","build","nozarashi build","0","2.31","0.28","0.15","42467328","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:25:07Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","5","start","nozarashi start and wait for health","0","11.59","0.23","0.18","32440320","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:25:08Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","5","stop","nozarashi stop","0","0.43","0.07","0.04","30261248","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:25:08Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","5","total","nozarashi build + start + stop","0","14.33","0.58","0.37","42467328","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:25:13Z","Darwin","arm64","docker","5.1.3","5","build","docker build","0","5.01","0.33","0.19","53788672","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:25:13Z","Darwin","arm64","docker","5.1.3","5","start","docker start and wait for health","0","0.37","0.08","0.04","34291712","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:25:14Z","Darwin","arm64","docker","5.1.3","5","stop","docker stop","0","0.44","0.07","0.03","33996800","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:25:14Z","Darwin","arm64","docker","5.1.3","5","total","docker build + start + stop","0","5.82","0.48","0.26","53788672","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
